model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,round,raceId,actual,pred_new,pred_old,delta,old_tier,new_tier,tier_dir
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,16,448,10.0,6.068553447723389,4.770695209503174,1.2978582382202148,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,16,448,14.0,7.05000114440918,6.854708194732666,0.19529294967651367,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,17,449,6.0,2.5951859951019287,3.32830548286438,-0.7331194877624512,A,A,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,17,449,12.0,4.726884841918945,3.710618019104004,1.0162668228149414,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,17,449,16.0,6.389973163604736,6.194681167602539,0.19529199600219727,A,B,-1.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,18,450,6.0,4.726884841918945,3.710618019104004,1.0162668228149414,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,18,450,11.0,6.716216564178467,6.520923614501953,0.19529294967651367,A,B,-1.0
model_no_orthogonal,zero,0.0,ricciardo,816,mclaren,alphatauri,2022,2023,18,450,15.0,5.135186195373535,4.456475734710693,0.6787104606628418,A,B,-1.0
model_no_orthogonal,zero,0.0,ricciardo,816,mclaren,alphatauri,2022,2023,19,451,7.0,2.644228458404541,2.1606533527374268,0.48357510566711426,A,B,-1.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,19,451,11.0,5.861822605133057,4.564187049865723,1.297635555267334,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,19,451,13.0,5.809619903564453,5.630176544189453,0.179443359375,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,20,452,3.0,2.5951857566833496,3.328305244445801,-0.7331194877624512,A,A,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,20,452,7.0,6.354958534240723,5.0567731857299805,1.2981853485107422,B,A,1.0
